Month,Product,Side,Quantity,Notional USD,Commission USD,Net P&L USD
Jan 2025,Cascade Credit Link,BUY,540000,31758000,41800,116200
Feb 2025,Helix Index Combo,SELL,352000,28476800,32600,78250
Mar 2025,Orbit Commodity Rail,BUY,612000,30182400,38400,107420
Apr 2025,Vanguard Infra Synth,SELL,405000,45228850,63820,91560
May 2025,Momentum Sector Pack,BUY,194000,12931800,25980,49350
Jun 2025,Beacon Funding Strip,SELL,84000,10249800,16540,32400
Jul 2025,Pulse Equity Ladder,BUY,2200,1988660,27680,45210
Aug 2025,Lumina Synthetic Pool,SELL,288000,27825600,34840,70530
Sep 2025,Vector Rate Shield,BUY,248000,25779200,32210,68800
Oct 2025,Epoch Multi Asset,SELL,158000,21724400,28950,50840
Nov 2025,Cascade Credit Link,SELL,560000,34283200,43780,89400
Dec 2025,Helix Index Combo,BUY,395000,30552000,39860,101750

